elemGUID,elemID,elemType,classType,CheckClassbyType,classGUID,classSysGUID
ffed7434-86fc-4a86-b3c6-5a4d3676f555,SW - 010,Wall,Slab,FALSE,5459636e-37ab-481d-86b2-785203380c55,be61cb1c-0aef-4d59-b2f3-ec8e08f78fb5
9596d095-246a-4d45-aaa4-a3f3676ff25b,SW - 010,Wall,Slab,FALSE,5459636e-37ab-481d-86b2-785203380c55,be61cb1c-0aef-4d59-b2f3-ec8e08f78fb5
59023abf-4985-4b37-887d-4dabb97104cf,SW - 010,Wall,Slab,FALSE,5459636e-37ab-481d-86b2-785203380c55,be61cb1c-0aef-4d59-b2f3-ec8e08f78fb5
